,symbol,position,order,close,amount,returns,creturns,strategy,cstrategy,p&l,ptf_value
2024-05-13 00:14:00+02:00,ETH-USD,0.0,0.0,2930.118408203125,0.0,2.88299241947973e-05,96517.50123664942,0.0,100000.0,0.0,100000.0
2024-05-13 00:15:00+02:00,ETH-USD,0.0,0.0,2929.984619140625,0.0,-4.5659950848895976e-05,96513.09425228689,-0.0,100000.0,0.0,100000.0
2024-05-13 00:16:00+02:00,ETH-USD,0.0,0.0,2929.92626953125,0.0,-1.9914646989551143e-05,96511.17222808498,-0.0,100000.0,0.0,100000.0
2024-05-13 00:17:00+02:00,ETH-USD,0.0,0.0,2928.036376953125,0.0,-0.0006450307633261222,96448.9195529932,-0.0,100000.0,0.0,100000.0
2024-05-13 00:19:00+02:00,ETH-USD,0.0,0.0,2928.81591796875,0.0,0.00026623337802796695,96474.59747465294,0.0,100000.0,0.0,100000.0
2024-05-13 00:20:00+02:00,ETH-USD,0.0,0.0,2928.411376953125,0.0,-0.00013812442534987492,96461.2719763159,-0.0,100000.0,0.0,100000.0
2024-05-13 00:22:00+02:00,ETH-USD,0.0,0.0,2928.48388671875,0.0,2.4760785385434137e-05,96463.66043316931,0.0,100000.0,0.0,100000.0
2024-05-13 00:23:00+02:00,ETH-USD,0.0,0.0,2929.269287109375,0.0,0.00026819351616955963,96489.53136144346,0.0,100000.0,0.0,100000.0
2024-05-13 00:24:00+02:00,ETH-USD,0.0,0.0,2929.2255859375,0.0,-1.4918796324842037e-05,96488.09185377759,-0.0,100000.0,0.0,100000.0
2024-05-13 00:25:00+02:00,ETH-USD,0.0,0.0,2929.550537109375,0.0,0.00011093415728546534,96498.79567893546,0.0,100000.0,0.0,100000.0
2024-05-13 00:29:00+02:00,ETH-USD,0.0,0.0,2929.145751953125,0.0,-0.00013817312626031935,96485.46213865615,-0.0,100000.0,0.0,100000.0
2024-05-13 00:30:00+02:00,ETH-USD,0.0,0.0,2929.09765625,0.0,-1.6419702943402617e-05,96483.87787602948,-0.0,100000.0,0.0,100000.0
2024-05-13 00:31:00+02:00,ETH-USD,0.0,0.0,2930.22216796875,0.0,0.0003839106273396377,96520.91906211303,0.0,100000.0,0.0,100000.0
2024-05-13 00:32:00+02:00,ETH-USD,0.0,0.0,2930.28466796875,0.0,2.1329440710403686e-05,96522.97779933347,0.0,100000.0,0.0,100000.0
2024-05-13 00:33:00+02:00,ETH-USD,0.0,0.0,2931.177734375,0.0,0.0003047712108015316,96552.39522414753,0.0,100000.0,0.0,100000.0
2024-05-13 00:35:00+02:00,ETH-USD,0.0,0.0,2931.18017578125,0.0,8.329096599529706e-07,96552.4756435702,0.0,100000.0,0.0,100000.0
2024-05-13 00:36:00+02:00,ETH-USD,0.0,0.0,2930.09375,0.0,-0.00037064448996569583,96516.68900048036,-0.0,100000.0,0.0,100000.0
2024-05-13 00:38:00+02:00,ETH-USD,0.0,0.0,2930.479248046875,0.0,0.00013156508964090312,96529.38722732056,0.0,100000.0,0.0,100000.0
2024-05-13 00:39:00+02:00,ETH-USD,0.0,0.0,2930.571044921875,0.0,3.1324867787813674e-05,96532.4109976131,0.0,100000.0,0.0,100000.0
2024-05-13 00:40:00+02:00,ETH-USD,0.0,0.0,2931.544677734375,0.0,0.0003322331373563256,96564.48226337541,0.0,100000.0,0.0,100000.0
2024-05-13 00:41:00+02:00,ETH-USD,0.0,0.0,2931.490234375,0.0,-1.857156051159902e-05,96562.68891024978,-0.0,100000.0,0.0,100000.0
2024-05-13 00:42:00+02:00,ETH-USD,0.0,0.0,2932.199951171875,0.0,0.00024210102716794933,96586.06683642106,0.0,100000.0,0.0,100000.0
