,symbol,position,order,close
2024-05-10 04:58:00+02:00,ETH-USD,0.0,0.0,3030.707763671875
2024-05-10 04:59:00+02:00,ETH-USD,0.0,0.0,3029.62744140625
2024-05-10 05:00:00+02:00,ETH-USD,0.0,0.0,3030.61865234375
2024-05-10 05:01:00+02:00,ETH-USD,0.0,0.0,3028.880126953125
2024-05-10 05:02:00+02:00,ETH-USD,0.0,0.0,3027.976318359375
2024-05-10 05:03:00+02:00,ETH-USD,0.0,0.0,3027.381103515625
2024-05-10 05:05:00+02:00,ETH-USD,0.0,0.0,3026.850830078125
2024-05-10 05:06:00+02:00,ETH-USD,0.0,0.0,3028.89794921875
2024-05-10 05:08:00+02:00,ETH-USD,0.0,0.0,3027.4921875
2024-05-10 05:09:00+02:00,ETH-USD,0.0,0.0,3027.33837890625
2024-05-10 05:10:00+02:00,ETH-USD,0.0,0.0,3028.01416015625
2024-05-10 05:11:00+02:00,ETH-USD,0.0,0.0,3024.44775390625
2024-05-10 05:12:00+02:00,ETH-USD,0.0,0.0,3025.81640625
2024-05-10 05:13:00+02:00,ETH-USD,0.0,0.0,3026.098388671875
2024-05-10 05:15:00+02:00,ETH-USD,0.0,0.0,3026.030029296875
2024-05-10 05:16:00+02:00,ETH-USD,0.0,0.0,3026.406982421875
2024-05-10 05:17:00+02:00,ETH-USD,0.0,0.0,3025.548828125
2024-05-10 05:18:00+02:00,ETH-USD,0.0,0.0,3025.774658203125
2024-05-10 05:19:00+02:00,ETH-USD,0.0,0.0,3028.568359375
2024-05-10 05:20:00+02:00,ETH-USD,0.0,0.0,3028.52587890625
2024-05-10 05:21:00+02:00,ETH-USD,0.0,0.0,3028.245849609375
2024-05-10 05:22:00+02:00,ETH-USD,0.0,0.0,3028.139404296875
2024-05-10 05:23:00+02:00,ETH-USD,0.0,0.0,3028.073486328125
2024-05-10 05:24:00+02:00,ETH-USD,0.0,0.0,3027.82861328125
2024-05-10 05:25:00+02:00,ETH-USD,0.0,0.0,3028.750732421875
2024-05-10 05:26:00+02:00,ETH-USD,0.0,0.0,3028.33935546875
2024-05-10 05:27:00+02:00,ETH-USD,0.0,0.0,3028.425048828125
2024-05-10 05:28:00+02:00,ETH-USD,0.0,0.0,3029.324951171875
2024-05-10 05:30:00+02:00,ETH-USD,0.0,0.0,3029.05322265625
2024-05-10 05:31:00+02:00,ETH-USD,0.0,0.0,3028.907958984375
2024-05-10 05:33:00+02:00,ETH-USD,0.0,0.0,3028.311767578125
2024-05-10 05:34:00+02:00,ETH-USD,0.0,0.0,3027.46728515625
2024-05-10 05:35:00+02:00,ETH-USD,0.0,0.0,3026.64697265625
2024-05-10 05:36:00+02:00,ETH-USD,0.0,0.0,3026.609375
2024-05-10 05:37:00+02:00,ETH-USD,0.0,0.0,3027.135986328125
2024-05-10 05:38:00+02:00,ETH-USD,0.0,0.0,3028.251953125
2024-05-10 05:39:00+02:00,ETH-USD,0.0,0.0,3025.9736328125
2024-05-10 05:40:00+02:00,ETH-USD,0.0,0.0,3025.82080078125
2024-05-10 05:41:00+02:00,ETH-USD,0.0,0.0,3026.099853515625
2024-05-10 05:42:00+02:00,ETH-USD,0.0,0.0,3026.496337890625
2024-05-10 05:43:00+02:00,ETH-USD,0.0,0.0,3026.86376953125
2024-05-10 05:44:00+02:00,ETH-USD,0.0,0.0,3026.85693359375
2024-05-10 05:45:00+02:00,ETH-USD,0.0,0.0,3026.472412109375
2024-05-10 05:46:00+02:00,ETH-USD,0.0,0.0,3026.4560546875
2024-05-10 05:47:00+02:00,ETH-USD,0.0,0.0,3025.726806640625
2024-05-10 05:48:00+02:00,ETH-USD,0.0,0.0,3026.611572265625
2024-05-10 05:49:00+02:00,ETH-USD,0.0,0.0,3027.082275390625
2024-05-10 05:50:00+02:00,ETH-USD,0.0,0.0,3027.0224609375
2024-05-10 05:51:00+02:00,ETH-USD,0.0,0.0,3027.72216796875
2024-05-10 05:52:00+02:00,ETH-USD,0.0,0.0,3027.745361328125
2024-05-10 05:53:00+02:00,ETH-USD,0.0,0.0,3028.588623046875
2024-05-10 05:55:00+02:00,ETH-USD,0.0,0.0,3028.9189453125
2024-05-10 05:56:00+02:00,ETH-USD,0.0,0.0,3028.27294921875
2024-05-10 05:58:00+02:00,ETH-USD,0.0,0.0,3028.97314453125
2024-05-10 05:59:00+02:00,ETH-USD,0.0,0.0,3028.966552734375
2024-05-10 06:00:00+02:00,ETH-USD,0.0,0.0,3028.8232421875
2024-05-10 06:01:00+02:00,ETH-USD,0.0,0.0,3028.931884765625
2024-05-10 06:02:00+02:00,ETH-USD,0.0,0.0,3028.8916015625
2024-05-10 06:03:00+02:00,ETH-USD,0.0,0.0,3029.593505859375
2024-05-10 06:04:00+02:00,ETH-USD,0.0,0.0,3030.183837890625
2024-05-10 06:05:00+02:00,ETH-USD,0.0,0.0,3029.957763671875
